Method Name,Description
java.io.File.createTempFile,"Creates a new empty file in the specified directory, using the  given prefix and suffix strings to generate its name."
java.io.File.delete,Deletes the file or directory denoted by this abstract pathname.
java.io.File.deleteOnExit,Requests that the file or directory denoted by this abstract  pathname be deleted when the virtual machine terminates.
java.io.File.equals,Tests this abstract pathname for equality with the given object.
java.io.File.exists,Tests whether the file or directory denoted by this abstract pathname  exists.
java.io.File.getAbsoluteFile,Returns the absolute form of this abstract pathname.
java.io.File.getAbsolutePath,Returns the absolute pathname string of this abstract pathname.
java.io.File.getCanonicalFile,Returns the canonical form of this abstract pathname.
java.io.File.getCanonicalPath,Returns the canonical pathname string of this abstract pathname.
java.io.File.getFreeSpace,Returns the number of unallocated bytes in the partitionnamedby this abstract path name.
java.io.File.getName,Returns the name of the file or directory denoted by this abstract  pathname.
java.io.File.getParent,"Returns the pathname string of this abstract pathname's parent, ornullif this pathname does not name a parent directory."
java.io.File.getParentFile,"Returns the abstract pathname of this abstract pathname's parent,  ornullif this pathname does not name a parent  directory."
java.io.File.getPath,Converts this abstract pathname into a pathname string.
java.io.File.getTotalSpace,Returns the size of the partitionnamedby this  abstract pathname.
java.io.File.getUsableSpace,Returns the number of bytes available to this virtual machine on the  partitionnamedby this abstract pathname.
java.io.File.hashCode,Computes a hash code for this abstract pathname.
java.io.File.isAbsolute,Tests whether this abstract pathname is absolute.
java.io.File.isDirectory,Tests whether the file denoted by this abstract pathname is a  directory.
java.io.File.isFile,Tests whether the file denoted by this abstract pathname is a normal  file.
java.io.File.isHidden,Tests whether the file named by this abstract pathname is a hidden  file.
java.io.File.lastModified,Returns the time that the file denoted by this abstract pathname was  last modified.
java.io.File.length,Returns the length of the file denoted by this abstract pathname.
java.io.File.list,Returns an array of strings naming the files and directories in the  directory denoted by this abstract pathname.
java.io.File.list,Returns an array of strings naming the files and directories in the  directory denoted by this abstract pathname that satisfy the specified  filter.
java.io.File.listFiles,Returns an array of abstract pathnames denoting the files in the  directory denoted by this abstract pathname.
java.io.File.listFiles,Returns an array of abstract pathnames denoting the files and  directories in the directory denoted by this abstract pathname that  satisfy the specified filter.
java.io.File.listRoots,List the available filesystem roots.
java.io.File.mkdir,Creates the directory named by this abstract pathname.
java.io.File.mkdirs,"Creates the directory named by this abstract pathname, including any  necessary but nonexistent parent directories."
java.io.File.renameTo,Renames the file denoted by this abstract pathname.
java.io.File.setExecutable,A convenience method to set the owner's execute permission for this  abstract pathname.
java.io.File.setExecutable,Sets the owner's or everybody's execute permission for this abstract  pathname.
java.io.File.setLastModified,Sets the last-modified time of the file or directory named by this  abstract pathname.
java.io.File.setReadable,A convenience method to set the owner's read permission for this abstract  pathname.
java.io.File.setReadable,Sets the owner's or everybody's read permission for this abstract  pathname.
java.io.File.setReadOnly,Marks the file or directory named by this abstract pathname so that  only read operations are allowed.
java.io.File.setWritable,A convenience method to set the owner's write permission for this abstract  pathname.
java.io.File.setWritable,Sets the owner's or everybody's write permission for this abstract  pathname.
java.io.File.toPath,Returns ajava.nio.file.Pathobject constructed from  this abstract path.
java.io.File.toString,Returns the pathname string of this abstract pathname.
java.io.File.toURI,Constructs afile:URI that represents this abstract pathname.
java.io.File.toURL,Deprecated.This method does not automatically escape characters that  are illegal in URLs.
java.io.FileDescriptor.sync,Force all system buffers to synchronize with the underlying  device.
java.io.FileDescriptor.valid,Tests if this file descriptor object is valid.
java.io.FileInputStream.available,Returns an estimate of the number of remaining bytes that can be read (or  skipped over) from this input stream without blocking by the next  invocation of a method for this input stream.
java.io.FileInputStream.close,Closes this file input stream and releases any system resources  associated with the stream.
java.io.FileInputStream.getChannel,Returns the uniqueFileChannelobject associated with this file input stream.
java.io.FileInputStream.getFD,Returns theFileDescriptorobject  that represents the connection to  the actual file in the file system being  used by thisFileInputStream.
java.io.FileInputStream.read,Reads a byte of data from this input stream.
java.io.FileInputStream.read,Reads up tob.lengthbytes of data from this input  stream into an array of bytes.
java.io.FileInputStream.read,Reads up tolenbytes of data from this input stream  into an array of bytes.
java.io.FileInputStream.skip,Skips over and discardsnbytes of data from the  input stream.
java.io.FileOutputStream.close,Closes this file output stream and releases any system resources  associated with this stream.
java.io.FileOutputStream.getChannel,Returns the uniqueFileChannelobject associated with this file output stream.
java.io.FileOutputStream.getFD,Returns the file descriptor associated with this stream.
java.io.FileOutputStream.write,Writesb.lengthbytes from the specified byte array  to this file output stream.
java.io.FileOutputStream.write,Writeslenbytes from the specified byte array  starting at offsetoffto this file output stream.
java.io.FileOutputStream.write,Writes the specified byte to this file output stream.
java.io.FilePermission.equals,Checks two FilePermission objects for equality.
java.io.FilePermission.getActions,"Returns the ""canonical string representation"" of the actions."
java.io.FilePermission.hashCode,Returns the hash code value for this object.
java.io.FilePermission.implies,"Checks if this FilePermission object ""implies"" the specified permission."
java.io.FilePermission.newPermissionCollection,Returns a new PermissionCollection object for storing FilePermission  objects.
java.io.FilterInputStream.available,Returns an estimate of the number of bytes that can be read (or  skipped over) from this input stream without blocking by the next  caller of a method for this input stream.
java.io.FilterInputStream.mark,Marks the current position in this input stream.
java.io.FilterInputStream.read,Reads up tob.lengthbytes of data from this  input stream into an array of bytes.
java.io.FilterInputStream.reset,Repositions this stream to the position at the time themarkmethod was last called on this input stream.
java.io.FilterOutputStream.close,Closes this output stream and releases any system resources  associated with the stream.
java.io.FilterOutputStream.flush,Flushes this output stream and forces any buffered output bytes  to be written out to the stream.
java.io.FilterOutputStream.write,Writesb.lengthbytes to this output stream.
java.io.FilterOutputStream.write,Writeslenbytes from the specifiedbytearray starting at offsetoffto  this output stream.
java.io.FilterOutputStream.write,Writes the specifiedbyteto this output stream.
java.io.FilterReader.markSupported,Tells whether this stream supports the mark() operation.
java.io.FilterReader.reset,Resets the stream.
java.io.FilterWriter.write,Writes a portion of a string.
java.io.InputStream.available,"Returns an estimate of the number of bytes that can be read (or skipped  over) from this input stream without blocking, which may be 0, or 0 when  end of stream is detected."
java.io.InputStream.close,Closes this input stream and releases any system resources associated  with the stream.
java.io.InputStream.nullInputStream,Returns a newInputStreamthat reads no bytes.
java.io.InputStream.read,Reads the next byte of data from the input stream.
java.io.InputStream.read,Reads some number of bytes from the input stream and stores them into  the buffer arrayb.
java.io.InputStream.read,Reads up tolenbytes of data from the input stream into  an array of bytes.
java.io.InputStream.readNBytes,Reads up to a specified number of bytes from the input stream.
java.io.InputStream.skip,Skips over and discardsnbytes of data from this input  stream.
java.io.InputStream.skipNBytes,Skips over and discards exactlynbytes of data from this input  stream.
java.io.InputStream.transferTo,Reads all bytes from this input stream and writes the bytes to the  given output stream in the order that they are read.
java.io.InputStreamReader.getEncoding,Returns the name of the character encoding being used by this stream.
java.io.InvalidClassException.getMessage,"Produce the message and include the classname, if present."
java.io.LineNumberReader.getLineNumber,Get the current line number.
java.io.LineNumberReader.mark,Mark the present position in the stream.
java.io.LineNumberReader.read,Read a single character.
java.io.LineNumberReader.readLine,Read a line of text.
java.io.LineNumberReader.reset,Reset the stream to the most recent mark.
java.io.LineNumberReader.setLineNumber,Set the current line number.
java.io.ObjectInputStream.defaulted,Return true if the named field is defaulted and has no value in this  stream.
java.io.ObjectInputStream.get,Get the value of the named boolean field from the persistent field.
java.io.ObjectInputStream.get,Get the value of the named byte field from the persistent field.
java.io.ObjectInputStream.get,Get the value of the named char field from the persistent field.
java.io.ObjectInputStream.get,Get the value of the named double field from the persistent field.
java.io.ObjectInputStream.get,Get the value of the named float field from the persistent field.
java.io.ObjectInputStream.get,Get the value of the named int field from the persistent field.
java.io.ObjectInputStream.get,Get the value of the named long field from the persistent field.
java.io.ObjectInputStream.get,Get the value of the named short field from the persistent field.
java.io.ObjectInputStream.get,Get the value of the named Object field from the persistent field.
java.io.ObjectInputStream.getObjectStreamClass,Get the ObjectStreamClass that describes the fields in the stream.
java.io.ObjectInputStream.available,Returns the number of bytes that can be read without blocking.
java.io.ObjectInputStream.close,Closes the input stream.
java.io.ObjectInputStream.defaultReadObject,Read the non-static and non-transient fields of the current class from  this stream.
java.io.ObjectInputStream.enableResolveObject,Enables the stream to do replacement of objects read from the stream.
java.io.ObjectInputStream.getObjectInputFilter,Returns the deserialization filter for this stream.
java.io.ObjectInputStream.read,Reads a byte of data.
java.io.ObjectInputStream.read,Reads into an array of bytes.
java.io.ObjectInputStream.readBoolean,Reads in a boolean.
java.io.ObjectInputStream.readByte,Reads an 8 bit byte.
java.io.ObjectInputStream.readChar,Reads a 16 bit char.
java.io.ObjectInputStream.readClassDescriptor,Read a class descriptor from the serialization stream.
java.io.ObjectInputStream.readDouble,Reads a 64 bit double.
java.io.ObjectInputStream.readFields,Reads the persistent fields from the stream and makes them available by  name.
java.io.ObjectInputStream.readFloat,Reads a 32 bit float.
java.io.ObjectInputStream.readFully,"Reads bytes, blocking until all bytes are read."
java.io.ObjectInputStream.readInt,Reads a 32 bit int.
java.io.ObjectInputStream.readLong,Reads a 64 bit long.
java.io.ObjectInputStream.readObject,Read an object from the ObjectInputStream.
java.io.ObjectInputStream.readObjectOverride,This method is called by trusted subclasses of ObjectInputStream that  constructed ObjectInputStream using the protected no-arg constructor.
java.io.ObjectInputStream.readShort,Reads a 16 bit short.
java.io.ObjectInputStream.readStreamHeader,The readStreamHeader method is provided to allow subclasses to read and  verify their own stream headers.
java.io.ObjectInputStream.readUnshared,"Reads an ""unshared"" object from the ObjectInputStream."
java.io.ObjectInputStream.readUnsignedByte,Reads an unsigned 8 bit byte.
java.io.ObjectInputStream.readUnsignedShort,Reads an unsigned 16 bit short.
java.io.ObjectInputStream.readUTF,Reads a String inmodified UTF-8format.
java.io.ObjectInputStream.registerValidation,Register an object to be validated before the graph is returned.
java.io.ObjectInputStream.resolveClass,Load the local class equivalent of the specified stream class  description.
java.io.ObjectInputStream.resolveObject,This method will allow trusted subclasses of ObjectInputStream to  substitute one object for another during deserialization.
java.io.ObjectInputStream.resolveProxyClass,"Returns a proxy class that implements the interfaces named in a proxy  class descriptor; subclasses may implement this method to read custom  data from the stream along with the descriptors for dynamic proxy  classes, allowing them to use an alternate loading mechanism for the  interfaces and the proxy class."
java.io.ObjectInputStream.setObjectInputFilter,Set the deserialization filter for the stream.
java.io.ObjectInputStream.skipBytes,Skips bytes.
java.io.ObjectOutputStream.annotateClass,Subclasses may implement this method to allow class data to be stored in  the stream.
java.io.ObjectOutputStream.annotateProxyClass,Subclasses may implement this method to store custom data in the stream  along with descriptors for dynamic proxy classes.
java.io.ObjectOutputStream.close,Closes the stream.
java.io.ObjectOutputStream.defaultWriteObject,Write the non-static and non-transient fields of the current class to  this stream.
java.io.ObjectOutputStream.drain,Drain any buffered data in ObjectOutputStream.
java.io.ObjectOutputStream.enableReplaceObject,Enables the stream to do replacement of objects written to the stream.
java.io.ObjectOutputStream.putFields,Retrieve the object used to buffer persistent fields to be written to  the stream.
java.io.ObjectOutputStream.replaceObject,This method will allow trusted subclasses of ObjectOutputStream to  substitute one object for another during serialization.
java.io.ObjectOutputStream.reset,Reset will disregard the state of any objects already written to the  stream.
java.io.ObjectOutputStream.useProtocolVersion,Specify stream protocol version to use when writing the stream.
java.io.ObjectOutputStream.write,Writes an array of bytes.
java.io.ObjectOutputStream.write,Writes a sub array of bytes.
java.io.ObjectOutputStream.write,Writes a byte.
java.io.ObjectOutputStream.writeBoolean,Writes a boolean.
java.io.ObjectOutputStream.writeByte,Writes an 8 bit byte.
java.io.ObjectOutputStream.writeBytes,Writes a String as a sequence of bytes.
java.io.ObjectOutputStream.writeChar,Writes a 16 bit char.
java.io.ObjectOutputStream.writeChars,Writes a String as a sequence of chars.
java.io.ObjectOutputStream.writeClassDescriptor,Write the specified class descriptor to the ObjectOutputStream.
java.io.ObjectOutputStream.writeDouble,Writes a 64 bit double.
java.io.ObjectOutputStream.writeFields,Write the buffered fields to the stream.
java.io.ObjectOutputStream.writeFloat,Writes a 32 bit float.
java.io.ObjectOutputStream.writeInt,Writes a 32 bit int.
java.io.ObjectOutputStream.writeLong,Writes a 64 bit long.
java.io.ObjectOutputStream.writeObject,Write the specified object to the ObjectOutputStream.
java.io.ObjectOutputStream.writeObjectOverride,Method used by subclasses to override the default writeObject method.
java.io.ObjectOutputStream.writeShort,Writes a 16 bit short.
java.io.ObjectOutputStream.writeStreamHeader,The writeStreamHeader method is provided so subclasses can append or  prepend their own header to the stream.
java.io.ObjectOutputStream.writeUnshared,"Writes an ""unshared"" object to the ObjectOutputStream."
java.io.ObjectOutputStream.writeUTF,Primitive data write of this String inmodified UTF-8format.
java.io.ObjectOutputStream.put,Put the value of the named boolean field into the persistent field.
java.io.ObjectOutputStream.put,Put the value of the named byte field into the persistent field.
java.io.ObjectOutputStream.put,Put the value of the named char field into the persistent field.
java.io.ObjectOutputStream.put,Put the value of the named double field into the persistent field.
java.io.ObjectOutputStream.put,Put the value of the named float field into the persistent field.
java.io.ObjectOutputStream.put,Put the value of the named int field into the persistent field.
java.io.ObjectOutputStream.put,Put the value of the named long field into the persistent field.
java.io.ObjectOutputStream.put,Put the value of the named short field into the persistent field.
java.io.ObjectOutputStream.put,Put the value of the named Object field into the persistent field.
java.io.ObjectOutputStream.write,"Deprecated.This method does not write the values contained by thisPutFieldobject in a proper format, and may          result in corruption of the serialization stream."
java.io.ObjectStreamClass.forClass,Return the class in the local VM that this version is mapped to.
java.io.ObjectStreamClass.getField,Get the field of this class by name.
java.io.ObjectStreamClass.getFields,Return an array of the fields of this serializable class.
java.io.ObjectStreamClass.getName,Returns the name of the class described by this descriptor.
java.io.ObjectStreamClass.getSerialVersionUID,Return the serialVersionUID for this class.
java.io.ObjectStreamClass.lookup,Find the descriptor for a class that can be serialized.
java.io.ObjectStreamClass.lookupAny,"Returns the descriptor for any class, regardless of whether it  implementsSerializable."
java.io.ObjectStreamClass.toString,Return a string describing this ObjectStreamClass.
java.io.ObjectStreamField.compareTo,Compare this field with anotherObjectStreamField.
java.io.ObjectStreamField.getName,Get the name of this field.
java.io.ObjectStreamField.getOffset,Offset of field within instance data.
java.io.ObjectStreamField.getType,Get the type of the field.
java.io.ObjectStreamField.getTypeCode,Returns character encoding of field type.
java.io.ObjectStreamField.getTypeString,Return the JVM type signature.
java.io.ObjectStreamField.isPrimitive,Return true if this field has a primitive type.
java.io.ObjectStreamField.isUnshared,Returns boolean value indicating whether or not the serializable field  represented by this ObjectStreamField instance is unshared.
java.io.ObjectStreamField.setOffset,Offset within instance data.
java.io.ObjectStreamField.toString,Return a string that describes this field.
java.io.OutputStream.close,Closes this output stream and releases any system resources  associated with this stream.
java.io.OutputStream.flush,Flushes this output stream and forces any buffered output bytes  to be written out.
java.io.OutputStream.nullOutputStream,Returns a newOutputStreamwhich discards all bytes.
java.io.OutputStream.write,Writesb.lengthbytes from the specified byte array  to this output stream.
java.io.OutputStream.write,Writeslenbytes from the specified byte array  starting at offsetoffto this output stream.
java.io.OutputStream.write,Writes the specified byte to this output stream.
java.io.PipedInputStream.available,Returns the number of bytes that can be read from this input  stream without blocking.
java.io.PipedInputStream.close,Closes this piped input stream and releases any system resources  associated with the stream.
java.io.PipedInputStream.connect,Causes this piped input stream to be connected  to the piped  output streamsrc.
java.io.PipedInputStream.read,Reads the next byte of data from this piped input stream.
java.io.PipedInputStream.read,Reads up tolenbytes of data from this piped input  stream into an array of bytes.
java.io.PipedInputStream.receive,Receives a byte of data.
java.io.PipedOutputStream.close,Closes this piped output stream and releases any system resources  associated with this stream.
java.io.PipedOutputStream.connect,Connects this piped output stream to a receiver.
java.io.PipedOutputStream.write,Writeslenbytes from the specified byte array  starting at offsetoffto this piped output stream.
java.io.PipedOutputStream.write,Writes the specifiedbyteto the piped output stream.
java.io.PipedReader.close,Closes this piped stream and releases any system resources  associated with the stream.
java.io.PipedReader.connect,Causes this piped reader to be connected  to the piped  writersrc.
java.io.PipedReader.read,Reads the next character of data from this piped stream.
java.io.PipedReader.ready,Tell whether this stream is ready to be read.
java.io.PipedWriter.connect,Connects this piped writer to a receiver.
java.io.PipedWriter.flush,Flushes this output stream and forces any buffered output characters  to be written out.
java.io.PipedWriter.write,Writeslencharacters from the specified character array  starting at offsetoffto this piped output stream.
java.io.PipedWriter.write,Writes the specifiedcharto the piped output stream.
java.io.PrintStream.append,Appends the specified character to this output stream.
java.io.PrintStream.append,Appends the specified character sequence to this output stream.
java.io.PrintStream.append,Appends a subsequence of the specified character sequence to this output  stream.
java.io.PrintStream.checkError,Flushes the stream and checks its error state.
java.io.PrintStream.clearError,Clears the internal error state of this stream.
java.io.PrintStream.format,Writes a formatted string to this output stream using the specified  format string and arguments.
java.io.PrintStream.print,Prints a boolean value.
java.io.PrintStream.print,Prints a character.
java.io.PrintStream.print,Prints an array of characters.
java.io.PrintStream.print,Prints a double-precision floating-point number.
java.io.PrintStream.print,Prints a floating-point number.
java.io.PrintStream.print,Prints an integer.
java.io.PrintStream.print,Prints a long integer.
java.io.PrintStream.print,Prints an object.
java.io.PrintStream.print,Prints a string.
java.io.PrintStream.printf,A convenience method to write a formatted string to this output stream  using the specified format string and arguments.
java.io.PrintStream.println,Terminates the current line by writing the line separator string.
java.io.PrintStream.println,Prints a boolean and then terminate the line.
java.io.PrintStream.println,Prints a character and then terminate the line.
java.io.PrintStream.println,Prints an array of characters and then terminate the line.
java.io.PrintStream.println,Prints a double and then terminate the line.
java.io.PrintStream.println,Prints a float and then terminate the line.
java.io.PrintStream.println,Prints an integer and then terminate the line.
java.io.PrintStream.println,Prints a long and then terminate the line.
java.io.PrintStream.println,Prints an Object and then terminate the line.
java.io.PrintStream.println,Prints a String and then terminate the line.
java.io.PrintStream.setError,Sets the error state of the stream totrue.
java.io.PrintStream.write,Writes all bytes from the specified byte array to this stream.
java.io.PrintStream.write,Writeslenbytes from the specified byte array starting at  offsetoffto this stream.
java.io.PrintStream.write,Writes the specified byte to this stream.
java.io.PrintWriter.checkError,Flushes the stream if it's not closed and checks its error state.
java.io.PrintWriter.clearError,Clears the error state of this stream.
java.io.PrintWriter.close,Closes the stream and releases any system resources associated  with it.
java.io.PrintWriter.format,Writes a formatted string to this writer using the specified format  string and arguments.
java.io.PrintWriter.printf,A convenience method to write a formatted string to this writer using  the specified format string and arguments.
java.io.PrintWriter.println,Prints a boolean value and then terminates the line.
java.io.PrintWriter.println,Prints a character and then terminates the line.
java.io.PrintWriter.println,Prints an array of characters and then terminates the line.
java.io.PrintWriter.println,Prints a double-precision floating-point number and then terminates the  line.
java.io.PrintWriter.println,Prints a floating-point number and then terminates the line.
java.io.PrintWriter.println,Prints an integer and then terminates the line.
java.io.PrintWriter.println,Prints a long integer and then terminates the line.
java.io.PrintWriter.println,Prints an Object and then terminates the line.
java.io.PrintWriter.println,Prints a String and then terminates the line.
java.io.PrintWriter.setError,Indicates that an error has occurred.
java.io.PrintWriter.write,Writes an array of characters.
java.io.PrintWriter.write,Writes A Portion of an array of characters.
java.io.PrintWriter.write,Writes a string.
java.io.PushbackInputStream.markSupported,"Tests if this input stream supports themarkandresetmethods, which it does not."
java.io.PushbackInputStream.read,Reads up tolenbytes of data from this input stream into  an array of bytes.
java.io.PushbackInputStream.skip,Skips over and discardsnbytes of data from this  input stream.
